date,time,flow
2019-10-01,0,0
2019-10-01,1,1
2019-10-01,2,0
2019-10-01,3,0
2019-10-01,4,6
2019-10-01,5,19
2019-10-01,6,26
2019-10-01,7,61
2019-10-01,8,76
2019-10-01,9,96
2019-10-01,10,90
2019-10-01,11,91
2019-10-01,12,103
2019-10-01,13,86
2019-10-01,14,107
2019-10-01,15,124
2019-10-01,16,124
2019-10-01,17,94
2019-10-01,18,62
2019-10-01,19,49
2019-10-01,20,35
2019-10-01,21,19
2019-10-01,22,14
2019-10-01,23,4
2019-10-02,0,3
2019-10-02,1,0
2019-10-02,2,1
2019-10-02,3,0
2019-10-02,4,3
2019-10-02,5,11
2019-10-02,6,24
2019-10-02,7,42
2019-10-02,8,87
2019-10-02,9,78
2019-10-02,10,78
2019-10-02,11,78
2019-10-02,12,87
2019-10-02,13,93
2019-10-02,14,113
2019-10-02,15,157
2019-10-02,16,109
2019-10-02,17,75
2019-10-02,18,70
2019-10-02,19,47
2019-10-02,20,85
2019-10-02,21,16
2019-10-02,22,33
2019-10-02,23,9
2019-10-03,0,4
2019-10-03,1,1
2019-10-03,2,2
2019-10-03,3,2
2019-10-03,4,7
2019-10-03,5,19
2019-10-03,6,24
2019-10-03,7,57
2019-10-03,8,60
2019-10-03,9,70
2019-10-03,10,80
2019-10-03,11,88
2019-10-03,12,77
2019-10-03,13,86
2019-10-03,14,121
2019-10-03,15,116
2019-10-03,16,127
2019-10-03,17,94
2019-10-03,18,67
2019-10-03,19,41
2019-10-03,20,41
2019-10-03,21,99
2019-10-03,22,22
2019-10-03,23,7
2019-10-04,0,68
2019-10-04,1,0
2019-10-04,2,4
2019-10-04,3,1
2019-10-04,4,2
2019-10-04,5,13
2019-10-04,6,24
2019-10-04,7,46
2019-10-04,8,74
2019-10-04,9,76
2019-10-04,10,102
2019-10-04,11,118
2019-10-04,12,90
2019-10-04,13,115
2019-10-04,14,112
2019-10-04,15,117
2019-10-04,16,122
2019-10-04,17,96
2019-10-04,18,73
2019-10-04,19,69
2019-10-04,20,50
2019-10-04,21,24
2019-10-04,22,15
2019-10-04,23,15
2019-10-05,0,10
2019-10-05,1,6
2019-10-05,2,0
2019-10-05,3,0
2019-10-05,4,1
2019-10-05,5,7
2019-10-05,6,11
2019-10-05,7,25
2019-10-05,8,56
2019-10-05,9,72
2019-10-05,10,93
2019-10-05,11,127
2019-10-05,12,96
2019-10-05,13,97
2019-10-05,14,101
2019-10-05,15,102
2019-10-05,16,101
2019-10-05,17,86
2019-10-05,18,50
2019-10-05,19,39
2019-10-05,20,23
2019-10-05,21,18
2019-10-05,22,16
2019-10-05,23,16
2019-10-06,0,14
2019-10-06,1,3
2019-10-06,2,4
2019-10-06,3,5
2019-10-06,4,3
2019-10-06,5,3
2019-10-06,6,8
2019-10-06,7,12
2019-10-06,8,19
2019-10-06,9,30
2019-10-06,10,72
2019-10-06,11,62
2019-10-06,12,49
2019-10-06,13,67
2019-10-06,14,45
2019-10-06,15,48
2019-10-06,16,70
2019-10-06,17,58
2019-10-06,18,30
2019-10-06,19,31
2019-10-06,20,32
2019-10-06,21,23
2019-10-06,22,20
2019-10-06,23,6
2019-10-07,0,3
2019-10-07,1,2
