date,time,flow
2019-10-01,0,0
2019-10-01,1,0
2019-10-01,2,0
2019-10-01,3,0
2019-10-01,4,8
2019-10-01,5,26
2019-10-01,6,67
2019-10-01,7,83
2019-10-01,8,85
2019-10-01,9,100
2019-10-01,10,76
2019-10-01,11,76
2019-10-01,12,92
2019-10-01,13,75
2019-10-01,14,71
2019-10-01,15,76
2019-10-01,16,119
2019-10-01,17,88
2019-10-01,18,79
2019-10-01,19,53
2019-10-01,20,36
2019-10-01,21,31
2019-10-01,22,30
2019-10-01,23,21
2019-10-02,0,21
2019-10-02,1,16
2019-10-02,2,12
2019-10-02,3,8
2019-10-02,4,12
2019-10-02,5,21
2019-10-02,6,79
2019-10-02,7,123
2019-10-02,8,101
2019-10-02,9,97
2019-10-02,10,80
2019-10-02,11,92
2019-10-02,12,80
2019-10-02,13,75
2019-10-02,14,68
2019-10-02,15,88
2019-10-02,16,116
2019-10-02,17,92
2019-10-02,18,75
2019-10-02,19,53
2019-10-02,20,40
2019-10-02,21,48
2019-10-02,22,49
2019-10-02,23,21
2019-10-03,0,12
2019-10-03,1,8
2019-10-03,2,13
2019-10-03,3,12
2019-10-03,4,8
2019-10-03,5,26
2019-10-03,6,57
2019-10-03,7,119
2019-10-03,8,109
2019-10-03,9,88
2019-10-03,10,76
2019-10-03,11,92
2019-10-03,12,92
2019-10-03,13,76
2019-10-03,14,96
2019-10-03,15,84
2019-10-03,16,123
2019-10-03,17,109
2019-10-03,18,72
2019-10-03,19,48
2019-10-03,20,44
2019-10-03,21,40
2019-10-03,22,44
2019-10-03,23,26
2019-10-04,0,21
2019-10-04,1,21
2019-10-04,2,16
2019-10-04,3,16
2019-10-04,4,16
2019-10-04,5,21
2019-10-04,6,61
2019-10-04,7,114
2019-10-04,8,105
2019-10-04,9,88
2019-10-04,10,100
2019-10-04,11,104
2019-10-04,12,110
2019-10-04,13,92
2019-10-04,14,92
2019-10-04,15,101
2019-10-04,16,114
2019-10-04,17,96
2019-10-04,18,105
2019-10-04,19,75
2019-10-04,20,53
2019-10-04,21,53
2019-10-04,22,44
2019-10-04,23,62
2019-10-05,0,36
2019-10-05,1,31
2019-10-05,2,16
2019-10-05,3,17
2019-10-05,4,8
2019-10-05,5,8
2019-10-05,6,26
2019-10-05,7,44
2019-10-05,8,48
2019-10-05,9,58
2019-10-05,10,53
2019-10-05,11,62
2019-10-05,12,88
2019-10-05,13,84
2019-10-05,14,57
2019-10-05,15,67
2019-10-05,16,80
2019-10-05,17,80
2019-10-05,18,93
2019-10-05,19,84
2019-10-05,20,57
2019-10-05,21,75
2019-10-05,22,62
2019-10-05,23,49
2019-10-06,0,36
2019-10-06,1,35
2019-10-06,2,40
2019-10-06,3,16
2019-10-06,4,4
2019-10-06,5,12
2019-10-06,6,21
2019-10-06,7,21
2019-10-06,8,44
2019-10-06,9,71
2019-10-06,10,76
2019-10-06,11,80
2019-10-06,12,71
2019-10-06,13,71
2019-10-06,14,57
2019-10-06,15,67
2019-10-06,16,52
2019-10-06,17,76
2019-10-06,18,62
2019-10-06,19,36
2019-10-06,20,38
2019-10-06,21,26
2019-10-06,22,16
2019-10-06,23,16
2019-10-07,0,0
2019-10-07,1,0
2019-10-07,2,0
2019-10-07,3,0
2019-10-07,4,4
2019-10-07,5,21
2019-10-07,6,66
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,22
2019-10-07,11,84
2019-10-07,12,71
2019-10-07,13,67
2019-10-07,14,57
2019-10-07,15,71
2019-10-07,16,114
2019-10-07,17,80
2019-10-07,18,67
2019-10-07,19,40
2019-10-07,20,31
2019-10-07,21,16
2019-10-07,22,12
2019-10-07,23,0
2019-10-08,0,0
2019-10-08,1,0
2019-10-08,2,0
2019-10-08,3,0
2019-10-08,4,4
2019-10-08,5,26
2019-10-08,6,35
2019-10-08,7,129
2019-10-08,8,116
2019-10-08,9,100
2019-10-08,10,66
2019-10-08,11,76
2019-10-08,12,88
2019-10-08,13,66
2019-10-08,14,71
2019-10-08,15,66
2019-10-08,16,110
2019-10-08,17,99
2019-10-08,18,70
2019-10-08,19,44
2019-10-08,20,26
2019-10-08,21,26
2019-10-08,22,8
2019-10-08,23,0
2019-10-09,0,4
2019-10-09,1,0
2019-10-09,2,0
2019-10-09,3,0
2019-10-09,4,4
2019-10-09,5,26
2019-10-09,6,67
2019-10-09,7,108
2019-10-09,8,102
2019-10-09,9,84
2019-10-09,10,72
2019-10-09,11,92
2019-10-09,12,70
2019-10-09,13,79
2019-10-09,14,76
2019-10-09,15,92
2019-10-09,16,118
2019-10-09,17,115
2019-10-09,18,63
2019-10-09,19,49
2019-10-09,20,31
2019-10-09,21,26
2019-10-09,22,16
2019-10-09,23,21
2019-10-10,0,4
2019-10-10,1,4
2019-10-10,2,4
2019-10-10,3,0
2019-10-10,4,4
2019-10-10,5,21
2019-10-10,6,67
2019-10-10,7,123
2019-10-10,8,114
2019-10-10,9,88
2019-10-10,10,67
2019-10-10,11,84
2019-10-10,12,80
2019-10-10,13,84
2019-10-10,14,92
2019-10-10,15,76
2019-10-10,16,127
2019-10-10,17,105
2019-10-10,18,76
2019-10-10,19,48
2019-10-10,20,40
2019-10-10,21,26
2019-10-10,22,26
2019-10-10,23,12
2019-10-11,0,17
2019-10-11,1,8
2019-10-11,2,4
2019-10-11,3,0
2019-10-11,4,4
2019-10-11,5,26
2019-10-11,6,61
2019-10-11,7,123
2019-10-11,8,101
2019-10-11,9,84
2019-10-11,10,92
2019-10-11,11,97
2019-10-11,12,96
2019-10-11,13,92
2019-10-11,14,84
2019-10-11,15,88
2019-10-11,16,109
2019-10-11,17,92
2019-10-11,18,97
2019-10-11,19,71
2019-10-11,20,57
2019-10-11,21,49
2019-10-11,22,40
