date,time,flow
2019-10-01,0,0
2019-10-01,1,3
2019-10-01,2,0
2019-10-01,3,0
2019-10-01,4,0
2019-10-01,5,7
2019-10-01,6,35
2019-10-01,7,57
2019-10-01,8,57
2019-10-01,9,52
2019-10-01,10,52
2019-10-01,11,62
2019-10-01,12,52
2019-10-01,13,57
2019-10-01,14,66
2019-10-01,15,73
2019-10-01,16,72
2019-10-01,17,57
2019-10-01,18,40
2019-10-01,19,31
2019-10-01,20,21
2019-10-01,21,12
2019-10-01,22,4
2019-10-01,23,0
2019-10-02,0,0
2019-10-02,1,0
2019-10-02,2,0
2019-10-02,3,0
2019-10-02,4,0
2019-10-02,5,12
2019-10-02,6,37
2019-10-02,7,71
2019-10-02,8,56
2019-10-02,9,61
2019-10-02,10,49
2019-10-02,11,56
2019-10-02,12,64
2019-10-02,13,78
2019-10-02,14,65
2019-10-02,15,84
2019-10-02,16,69
2019-10-02,17,60
2019-10-02,18,36
2019-10-02,19,38
2019-10-02,20,24
2019-10-02,21,16
2019-10-02,22,12
2019-10-02,23,3
2019-10-03,0,3
2019-10-03,1,0
2019-10-03,2,3
2019-10-03,3,1
2019-10-03,4,5
2019-10-03,5,14
2019-10-03,6,36
2019-10-03,7,69
2019-10-03,8,72
2019-10-03,9,64
2019-10-03,10,59
2019-10-03,11,71
2019-10-03,12,67
2019-10-03,13,67
2019-10-03,14,74
2019-10-03,15,92
2019-10-03,16,112
2019-10-03,17,117
2019-10-03,18,69
2019-10-03,19,33
2019-10-03,20,29
2019-10-03,21,25
2019-10-03,22,20
2019-10-03,23,10
2019-10-04,0,2
2019-10-04,1,3
2019-10-04,2,4
2019-10-04,3,2
2019-10-04,4,8
2019-10-04,5,12
2019-10-04,6,37
2019-10-04,7,68
2019-10-04,8,66
2019-10-04,9,47
2019-10-04,10,53
2019-10-04,11,62
2019-10-04,12,79
2019-10-04,13,74
2019-10-04,14,88
2019-10-04,15,83
2019-10-04,16,74
2019-10-04,17,48
2019-10-04,18,41
2019-10-04,19,31
2019-10-04,20,24
2019-10-04,21,17
2019-10-04,22,13
2019-10-04,23,8
2019-10-05,0,6
2019-10-05,1,4
2019-10-05,2,3
2019-10-05,3,4
2019-10-05,4,3
2019-10-05,5,8
2019-10-05,6,13
2019-10-05,7,17
2019-10-05,8,40
2019-10-05,9,46
2019-10-05,10,38
2019-10-05,11,53
2019-10-05,12,56
2019-10-05,13,47
2019-10-05,14,47
2019-10-05,15,57
2019-10-05,16,38
2019-10-05,17,30
2019-10-05,18,25
2019-10-05,19,25
2019-10-05,20,17
2019-10-05,21,20
2019-10-05,22,13
2019-10-05,23,7
2019-10-06,0,10
2019-10-06,1,8
2019-10-06,2,4
2019-10-06,3,3
2019-10-06,4,3
2019-10-06,5,9
2019-10-06,6,16
2019-10-06,7,15
2019-10-06,8,14
2019-10-06,9,37
2019-10-06,10,41
2019-10-06,11,34
2019-10-06,12,48
2019-10-06,13,43
2019-10-06,14,38
2019-10-06,15,55
2019-10-06,16,28
2019-10-06,17,34
2019-10-06,18,31
2019-10-06,19,19
2019-10-06,20,12
2019-10-06,21,4
2019-10-06,22,0
2019-10-06,23,1
2019-10-07,0,0
2019-10-07,1,1
2019-10-07,2,2
2019-10-07,3,1
2019-10-07,4,4
2019-10-07,5,3
2019-10-07,6,27
2019-10-07,7,43
2019-10-07,8,52
2019-10-07,9,40
2019-10-07,10,38
2019-10-07,11,58
2019-10-07,12,49
2019-10-07,13,53
2019-10-07,14,63
2019-10-07,15,70
2019-10-07,16,77
2019-10-07,17,65
2019-10-07,18,38
2019-10-07,19,28
2019-10-07,20,17
2019-10-07,21,13
2019-10-07,22,17
2019-10-07,23,5
2019-10-08,0,4
2019-10-08,1,5
2019-10-08,2,3
2019-10-08,3,5
2019-10-08,4,8
