date,time,flow
2019-10-01,0,2
2019-10-01,1,1
2019-10-01,2,0
2019-10-01,3,0
2019-10-01,4,3
2019-10-01,5,9
2019-10-01,6,61
2019-10-01,7,36
2019-10-01,8,27
2019-10-01,9,37
2019-10-01,10,18
2019-10-01,11,61
2019-10-01,12,92
2019-10-01,13,124
2019-10-01,14,114
2019-10-01,15,61
2019-10-01,16,23
2019-10-01,17,20
2019-10-01,18,23
2019-10-01,19,102
2019-10-01,20,88
2019-10-01,21,76
2019-10-01,22,30
2019-10-01,23,5
2019-10-02,0,1
2019-10-02,1,1
2019-10-02,2,0
2019-10-02,3,0
2019-10-02,4,4
2019-10-02,5,7
2019-10-02,6,24
2019-10-02,7,39
2019-10-02,8,44
2019-10-02,9,37
2019-10-02,10,13
2019-10-02,11,19
2019-10-02,12,31
2019-10-02,13,15
2019-10-02,14,22
2019-10-02,15,26
2019-10-02,16,36
2019-10-02,17,25
2019-10-02,18,62
2019-10-02,19,88
2019-10-02,20,84
2019-10-02,21,92
2019-10-02,22,49
2019-10-02,23,1
2019-10-03,0,1
2019-10-03,1,0
2019-10-03,2,2
2019-10-03,3,0
2019-10-03,4,7
2019-10-03,5,9
2019-10-03,6,61
2019-10-03,7,50
2019-10-03,8,27
2019-10-03,9,17
2019-10-03,10,14
2019-10-03,11,34
2019-10-03,12,48
2019-10-03,13,19
2019-10-03,14,55
2019-10-03,15,58
2019-10-03,16,36
2019-10-03,17,34
2019-10-03,18,22
2019-10-03,19,7
2019-10-03,20,92
2019-10-03,21,92
2019-10-03,22,40
2019-10-03,23,14
2019-10-04,0,6
2019-10-04,1,5
2019-10-04,2,2
2019-10-04,3,3
2019-10-04,4,2
2019-10-04,5,9
2019-10-04,6,22
2019-10-04,7,36
2019-10-04,8,51
2019-10-04,9,22
2019-10-04,10,68
2019-10-04,11,50
2019-10-04,12,56
2019-10-04,13,23
2019-10-04,14,15
2019-10-04,15,23
2019-10-04,16,37
2019-10-04,17,43
2019-10-04,18,84
2019-10-04,19,80
2019-10-04,20,67
2019-10-04,21,92
2019-10-04,22,47
2019-10-04,23,5
2019-10-05,0,2
2019-10-05,1,4
2019-10-05,2,23
2019-10-05,3,2
2019-10-05,4,0
2019-10-05,5,2
2019-10-05,6,21
2019-10-05,7,48
2019-10-05,8,62
2019-10-05,9,63
2019-10-05,10,79
2019-10-05,11,84
2019-10-05,12,97
2019-10-05,13,106
2019-10-05,14,106
2019-10-05,15,118
2019-10-05,16,137
2019-10-05,17,104
2019-10-05,18,21
2019-10-05,19,115
2019-10-05,20,66
2019-10-05,21,97
2019-10-05,22,37
2019-10-05,23,12
2019-10-06,0,9
2019-10-06,1,5
2019-10-06,2,5
2019-10-06,3,1
2019-10-06,4,2
2019-10-06,5,1
2019-10-06,6,16
2019-10-06,7,21
2019-10-06,8,66
2019-10-06,9,48
2019-10-06,10,67
2019-10-06,11,93
2019-10-06,12,92
2019-10-06,13,105
2019-10-06,14,109
2019-10-06,15,119
2019-10-06,16,127
2019-10-06,17,109
2019-10-06,18,57
2019-10-06,19,57
2019-10-06,20,52
2019-10-06,21,49
2019-10-06,22,22
2019-10-06,23,2
2019-10-07,0,1
2019-10-07,1,1
2019-10-07,2,1
2019-10-07,3,2
2019-10-07,4,2
2019-10-07,5,16
2019-10-07,6,57
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,0
2019-10-07,11,50
2019-10-07,12,47
2019-10-07,13,19
2019-10-07,14,19
2019-10-07,15,27
2019-10-07,16,31
2019-10-07,17,24
2019-10-07,18,10
2019-10-07,19,77
2019-10-07,20,66
2019-10-07,21,62
2019-10-07,22,35
2019-10-07,23,3
2019-10-08,0,4
2019-10-08,1,2
2019-10-08,2,0
2019-10-08,3,13
2019-10-08,4,1
2019-10-08,5,12
2019-10-08,6,61
2019-10-08,7,33
2019-10-08,8,33
2019-10-08,9,24
2019-10-08,10,25
2019-10-08,11,22
2019-10-08,12,17
2019-10-08,13,20
2019-10-08,14,16
2019-10-08,15,27
2019-10-08,16,38
2019-10-08,17,44
2019-10-08,18,19
2019-10-08,19,92
2019-10-08,20,51
2019-10-08,21,89
2019-10-08,22,24
2019-10-08,23,6
2019-10-09,0,2
2019-10-09,1,1
2019-10-09,2,0
2019-10-09,3,0
2019-10-09,4,12
2019-10-09,5,16
2019-10-09,6,66
2019-10-09,7,39
2019-10-09,8,55
2019-10-09,9,34
2019-10-09,10,17
2019-10-09,11,14
2019-10-09,12,45
2019-10-09,13,110
2019-10-09,14,76
2019-10-09,15,34
2019-10-09,16,46
2019-10-09,17,43
2019-10-09,18,19
2019-10-09,19,83
2019-10-09,20,75
2019-10-09,21,76
2019-10-09,22,35
2019-10-09,23,11
2019-10-10,0,5
2019-10-10,1,6
2019-10-10,2,9
2019-10-10,3,3
2019-10-10,4,3
2019-10-10,5,6
2019-10-10,6,32
2019-10-10,7,46
2019-10-10,8,45
2019-10-10,9,31
2019-10-10,10,26
2019-10-10,11,49
2019-10-10,12,67
2019-10-10,13,53
2019-10-10,14,36
2019-10-10,15,27
2019-10-10,16,27
2019-10-10,17,45
2019-10-10,18,50
2019-10-10,19,106
2019-10-10,20,88
2019-10-10,21,80
2019-10-10,22,41
2019-10-10,23,11
2019-10-11,0,13
2019-10-11,1,12
2019-10-11,2,3
2019-10-11,3,1
2019-10-11,4,4
2019-10-11,5,7
2019-10-11,6,39
2019-10-11,7,39
2019-10-11,8,24
2019-10-11,9,23
2019-10-11,10,20
2019-10-11,11,21
2019-10-11,12,21
2019-10-11,13,17
2019-10-11,14,30
2019-10-11,15,39
2019-10-11,16,32
2019-10-11,17,28
2019-10-11,18,29
2019-10-11,19,72
2019-10-11,20,71
2019-10-11,21,80
2019-10-11,22,46
2019-10-11,23,26
2019-10-12,0,6
2019-10-12,1,12
2019-10-12,2,1
2019-10-12,3,2
2019-10-12,4,3
2019-10-12,5,2
2019-10-12,6,25
2019-10-12,7,48
2019-10-12,8,62
2019-10-12,9,63
2019-10-12,10,84
2019-10-12,11,96
2019-10-12,12,88
2019-10-12,13,100
2019-10-12,14,115
2019-10-12,15,102
2019-10-12,16,26
2019-10-12,17,51
2019-10-12,18,13
2019-10-12,19,9
2019-10-12,20,41
2019-10-12,21,88
2019-10-12,22,28
2019-10-12,23,10
2019-10-13,0,8
2019-10-13,1,3
2019-10-13,2,1
2019-10-13,3,6
2019-10-13,4,0
2019-10-13,5,1
2019-10-13,6,16
2019-10-13,7,26
2019-10-13,8,61
2019-10-13,9,52
2019-10-13,10,62
2019-10-13,11,80
2019-10-13,12,97
2019-10-13,13,101
2019-10-13,14,109
2019-10-13,15,118
2019-10-13,16,119
2019-10-13,17,96
2019-10-13,18,67
2019-10-13,19,57
2019-10-13,20,57
2019-10-13,21,53
2019-10-13,22,27
2019-10-13,23,2
2019-10-14,0,1
2019-10-14,1,0
2019-10-14,2,0
2019-10-14,3,3
2019-10-14,4,4
2019-10-14,5,5
2019-10-14,6,20
2019-10-14,7,24
2019-10-14,8,31
2019-10-14,9,18
2019-10-14,10,24
2019-10-14,11,66
2019-10-14,12,84
2019-10-14,13,83
2019-10-14,14,66
2019-10-14,15,58
2019-10-14,16,18
2019-10-14,17,15
2019-10-14,18,9
2019-10-14,19,63
2019-10-14,20,62
2019-10-14,21,53
2019-10-14,22,31
2019-10-14,23,5
2019-10-15,0,0
2019-10-15,1,0
2019-10-15,2,3
2019-10-15,3,5
2019-10-15,4,0
2019-10-15,5,6
2019-10-15,6,14
2019-10-15,7,32
2019-10-15,8,25
2019-10-15,9,42
2019-10-15,10,67
2019-10-15,11,93
2019-10-15,12,84
2019-10-15,13,105
2019-10-15,14,118
2019-10-15,15,67
2019-10-15,16,26
2019-10-15,17,26
2019-10-15,18,76
2019-10-15,19,93
2019-10-15,20,71
2019-10-15,21,79
2019-10-15,22,39
2019-10-15,23,154
2019-10-16,0,5
2019-10-16,1,1
2019-10-16,2,0
2019-10-16,3,4
2019-10-16,4,3
2019-10-16,5,1
2019-10-16,6,61
2019-10-16,7,52
2019-10-16,8,36
2019-10-16,9,23
2019-10-16,10,40
2019-10-16,11,66
2019-10-16,12,70
2019-10-16,13,79
2019-10-16,14,25
2019-10-16,15,20
2019-10-16,16,36
2019-10-16,17,22
2019-10-16,18,14
2019-10-16,19,98
2019-11-20,12,0
2019-11-20,13,64
2019-11-20,14,115
2019-11-20,15,71
2019-11-20,16,31
2019-11-20,17,40
2019-11-20,18,30
2019-11-20,19,123
2019-11-20,20,101
2019-11-20,21,80
2019-11-20,22,76
2019-11-20,23,53
2019-11-21,0,16
2019-11-21,1,16
2019-11-21,2,8
2019-11-21,3,12
2019-11-21,4,12
2019-11-21,5,16
2019-11-21,6,21
2019-11-21,7,62
2019-11-21,8,45
2019-11-21,9,81
2019-11-21,10,92
2019-11-21,11,85
2019-11-21,12,67
2019-11-21,13,66
2019-11-21,14,61
2019-11-21,15,92
2019-11-21,16,53
2019-11-21,17,40
2019-11-21,18,36
2019-11-21,19,106
2019-11-21,20,92
2019-11-21,21,92
2019-11-21,22,88
2019-11-21,23,52
2019-11-22,0,40
2019-11-22,1,25
2019-11-22,2,12
2019-11-22,3,16
2019-11-22,4,12
2019-11-22,5,8
2019-11-22,6,16
2019-11-22,7,43
2019-11-22,8,48
2019-11-22,9,43
2019-11-22,10,84
2019-11-22,11,93
2019-11-22,12,49
2019-11-22,13,18
2019-11-22,14,11
2019-11-22,15,20
2019-11-22,16,24
2019-11-22,17,41
2019-11-22,18,25
2019-11-22,19,14
2019-11-22,20,18
2019-11-22,21,18
2019-11-22,22,105
2019-11-22,23,39
2019-11-23,0,5
