date,time,flow
2019-10-01,0,5
2019-10-01,1,0
2019-10-01,2,3
2019-10-01,3,7
2019-10-01,4,9
2019-10-01,5,12
2019-10-01,6,30
2019-10-01,7,76
2019-10-01,8,65
2019-10-01,9,67
2019-10-01,10,64
2019-10-01,11,37
2019-10-01,12,43
2019-10-01,13,61
2019-10-01,14,59
2019-10-01,15,67
2019-10-01,16,105
2019-10-01,17,57
2019-10-01,18,46
2019-10-01,19,32
2019-10-01,20,19
2019-10-01,21,112
2019-10-01,22,50
2019-10-01,23,6
2019-10-02,0,6
2019-10-02,1,3
2019-10-02,2,3
2019-10-02,3,7
2019-10-02,4,8
2019-10-02,5,9
2019-10-02,6,33
2019-10-02,7,72
2019-10-02,8,79
2019-10-02,9,63
2019-10-02,10,60
2019-10-02,11,56
2019-10-02,12,55
2019-10-02,13,65
2019-10-02,14,60
2019-10-02,15,70
2019-10-02,16,90
2019-10-02,17,73
2019-10-02,18,60
2019-10-02,19,40
2019-10-02,20,23
2019-10-02,21,16
2019-10-02,22,12
2019-10-02,23,7
2019-10-03,0,3
2019-10-03,1,4
2019-10-03,2,1
2019-10-03,3,2
2019-10-03,4,6
2019-10-03,5,12
2019-10-03,6,32
2019-10-03,7,87
2019-10-03,8,78
2019-10-03,9,63
2019-10-03,10,43
2019-10-03,11,74
2019-10-03,12,64
2019-10-03,13,75
2019-10-03,14,64
2019-10-03,15,75
2019-10-03,16,95
2019-10-03,17,69
2019-10-03,18,50
2019-10-03,19,29
2019-10-03,20,31
2019-10-03,21,24
2019-10-03,22,24
2019-10-03,23,7
2019-10-04,0,3
2019-10-04,1,3
2019-10-04,2,1
2019-10-04,3,2
2019-10-04,4,8
2019-10-04,5,14
2019-10-04,6,45
2019-10-04,7,73
2019-10-04,8,60
2019-10-04,9,54
2019-10-04,10,52
2019-10-04,11,67
2019-10-04,12,75
2019-10-04,13,79
2019-10-04,14,92
2019-10-04,15,94
2019-10-04,16,101
2019-10-04,17,82
2019-10-04,18,70
2019-10-04,19,28
2019-10-04,20,29
2019-10-04,21,34
2019-10-04,22,25
2019-10-04,23,22
2019-10-05,0,11
2019-10-05,1,10
2019-10-05,2,1
2019-10-05,3,10
2019-10-05,4,2
2019-10-05,5,5
2019-10-05,6,16
2019-10-05,7,31
2019-10-05,8,48
2019-10-05,9,50
2019-10-05,10,73
2019-10-05,11,82
2019-10-05,12,89
2019-10-05,13,73
2019-10-05,14,65
2019-10-05,15,58
2019-10-05,16,78
2019-10-05,17,80
2019-10-05,18,53
2019-10-05,19,38
2019-10-05,20,35
2019-10-05,21,32
2019-10-05,22,26
2019-10-05,23,20
2019-10-06,0,6
2019-10-06,1,8
2019-10-06,2,11
2019-10-06,3,8
2019-10-06,4,5
2019-10-06,5,2
2019-10-06,6,12
2019-10-06,7,31
2019-10-06,8,117
2019-10-06,9,72
2019-10-06,10,56
2019-10-06,11,61
2019-10-06,12,82
2019-10-06,13,77
2019-10-06,14,51
2019-10-06,15,46
2019-10-06,16,65
2019-10-06,17,69
2019-10-06,18,54
2019-10-06,19,26
2019-10-06,20,26
2019-10-06,21,35
2019-10-06,22,34
2019-10-06,23,7
2019-10-07,0,7
2019-10-07,1,2
2019-10-07,2,9
2019-10-07,3,0
2019-10-07,4,5
2019-10-07,5,12
2019-10-07,6,44
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,13
2019-10-07,11,56
2019-10-07,12,66
2019-10-07,13,66
2019-10-07,14,64
2019-10-07,15,73
2019-10-07,16,89
2019-10-07,17,65
2019-10-07,18,47
2019-10-07,19,30
2019-10-07,20,20
2019-10-07,21,14
2019-10-07,22,19
2019-10-07,23,3
2019-10-08,0,3
2019-10-08,1,2
2019-10-08,2,2
2019-10-08,3,4
