date,time,flow
2019-10-01,0,0
2019-10-01,1,0
2019-10-01,2,2
2019-10-01,3,0
2019-10-01,4,0
2019-10-01,5,1
2019-10-01,6,10
2019-10-01,7,42
2019-10-01,8,31
2019-10-01,9,13
2019-10-01,10,19
2019-10-01,11,10
2019-10-01,12,13
2019-10-01,13,14
2019-10-01,14,20
2019-10-01,15,30
2019-10-01,16,71
2019-10-01,17,13
2019-10-01,18,6
2019-10-01,19,4
2019-10-01,20,1
2019-10-01,21,0
2019-10-01,22,1
2019-10-01,23,0
2019-10-02,0,0
2019-10-02,1,0
2019-10-02,2,0
2019-10-02,3,0
2019-10-02,4,0
2019-10-02,5,3
2019-10-02,6,10
2019-10-02,7,94
2019-10-02,8,45
2019-10-02,9,15
2019-10-02,10,20
2019-10-02,11,17
2019-10-02,12,22
2019-10-02,13,24
2019-10-02,14,25
2019-10-02,15,59
2019-10-02,16,130
2019-10-02,17,55
2019-10-02,18,17
2019-10-02,19,4
2019-10-02,20,1
2019-10-02,21,4
2019-10-02,22,0
2019-10-02,23,0
2019-10-03,0,1
2019-10-03,1,0
2019-10-03,2,0
2019-10-03,3,0
2019-10-03,4,1
2019-10-03,5,3
2019-10-03,6,15
2019-10-03,7,79
2019-10-03,8,55
2019-10-03,9,13
2019-10-03,10,12
2019-10-03,11,13
2019-10-03,12,15
2019-10-03,13,16
2019-10-03,14,15
2019-10-03,15,71
2019-10-03,16,140
2019-10-03,17,28
2019-10-03,18,8
2019-10-03,19,5
2019-10-03,20,1
2019-10-03,21,1
2019-10-03,22,0
2019-10-03,23,0
2019-10-04,0,0
2019-10-04,1,0
2019-10-04,2,0
2019-10-04,3,1
2019-10-04,4,0
2019-10-04,5,4
2019-10-04,6,6
2019-10-04,7,44
2019-10-04,8,25
2019-10-04,9,12
2019-10-04,10,15
2019-10-04,11,20
2019-10-04,12,12
2019-10-04,13,34
2019-10-04,14,30
2019-10-04,15,41
2019-10-04,16,41
2019-10-04,17,27
2019-10-04,18,10
2019-10-04,19,9
2019-10-04,20,7
2019-10-04,21,17
2019-10-04,22,9
2019-10-04,23,5
2019-10-05,0,0
2019-10-05,1,0
2019-10-05,2,0
2019-10-05,3,0
2019-10-05,4,1
2019-10-05,5,2
2019-10-05,6,1
2019-10-05,7,5
2019-10-05,8,7
2019-10-05,9,9
2019-10-05,10,5
2019-10-05,11,9
2019-10-05,12,28
2019-10-05,13,15
2019-10-05,14,13
2019-10-05,15,15
2019-10-05,16,25
2019-10-05,17,12
2019-10-05,18,11
2019-10-05,19,3
2019-10-05,20,11
2019-10-05,21,19
2019-10-05,22,4
2019-10-05,23,5
2019-10-06,0,0
2019-10-06,1,0
2019-10-06,2,1
2019-10-06,3,0
2019-10-06,4,1
2019-10-06,5,1
2019-10-06,6,3
2019-10-06,7,1
2019-10-06,8,3
2019-10-06,9,5
2019-10-06,10,7
2019-10-06,11,19
2019-10-06,12,33
2019-10-06,13,18
2019-10-06,14,10
2019-10-06,15,17
2019-10-06,16,32
2019-10-06,17,47
2019-10-06,18,52
2019-10-06,19,4
2019-10-06,20,4
2019-10-06,21,31
2019-10-06,22,8
2019-10-06,23,5
2019-10-07,0,1
2019-10-07,1,0
2019-10-07,2,0
2019-10-07,3,0
2019-10-07,4,0
2019-10-07,5,0
2019-10-07,6,8
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,9
2019-10-07,11,21
2019-10-07,12,30
2019-10-07,13,16
2019-10-07,14,16
2019-10-07,15,58
2019-10-07,16,85
2019-10-07,17,25
2019-10-07,18,8
2019-10-07,19,0
2019-10-07,20,4
2019-10-07,21,8
2019-10-07,22,21
2019-10-07,23,2
2019-10-08,0,2
2019-10-08,1,6
2019-10-08,2,3
2019-10-08,3,2
2019-10-08,4,1
2019-10-08,5,2
2019-10-08,6,13
2019-10-08,7,89
2019-10-08,8,26
2019-10-08,9,17
2019-10-08,10,7
2019-10-08,11,6
2019-10-08,12,10
2019-10-08,13,19
2019-10-08,14,15
2019-10-08,15,53
2019-10-08,16,199
2019-10-08,17,99
2019-10-08,18,14
2019-10-08,19,2
2019-10-08,20,3
2019-10-08,21,1
2019-10-08,22,30
2019-10-08,23,9
2019-10-09,0,7
2019-10-09,1,0
2019-10-09,2,4
2019-10-09,3,4
2019-10-09,4,0
2019-10-09,5,4
2019-10-09,6,16
2019-10-09,7,74
2019-10-09,8,59
2019-10-09,9,34
2019-10-09,10,28
2019-10-09,11,19
2019-10-09,12,14
2019-10-09,13,20
2019-10-09,14,15
2019-10-09,15,51
2019-10-09,16,127
2019-10-09,17,62
2019-10-09,18,11
2019-10-09,19,5
2019-10-09,20,4
2019-10-09,21,21
2019-10-09,22,39
2019-10-09,23,8
2019-10-10,0,12
2019-10-10,1,0
2019-10-10,2,0
2019-10-10,3,0
2019-10-10,4,0
2019-10-10,5,0
2019-10-10,6,15
2019-10-10,7,75
2019-10-10,8,50
2019-10-10,9,19
2019-10-10,10,31
2019-10-10,11,12
2019-10-10,12,19
2019-10-10,13,21
2019-10-10,14,19
2019-10-10,15,66
2019-10-10,16,126
2019-10-10,17,30
2019-10-10,18,8
2019-10-10,19,8
2019-10-10,20,16
2019-10-10,21,8
2019-10-10,22,17
2019-10-10,23,4
2019-10-11,0,8
2019-10-11,1,4
2019-10-11,2,0
2019-10-11,3,0
2019-10-11,4,0
2019-10-11,5,0
2019-10-11,6,4
2019-10-11,7,35
2019-10-11,8,21
2019-10-11,9,22
2019-10-11,10,27
2019-10-11,11,29
2019-10-11,12,42
2019-10-11,13,18
2019-10-11,14,48
2019-10-11,15,56
2019-10-11,16,62
2019-10-11,17,35
2019-10-11,18,24
2019-10-11,19,21
2019-10-11,20,103
2019-10-11,21,96
2019-10-11,22,38
