date,time,flow
2019-10-01,0,0
2019-10-01,1,1
2019-10-01,2,0
2019-10-01,3,0
2019-10-01,4,5
2019-10-01,5,14
2019-10-01,6,40
2019-10-01,7,82
2019-10-01,8,77
2019-10-01,9,58
2019-10-01,10,45
2019-10-01,11,45
2019-10-01,12,63
2019-10-01,13,61
2019-10-01,14,72
2019-10-01,15,79
2019-10-01,16,87
2019-10-01,17,70
2019-10-01,18,54
2019-10-01,19,30
2019-10-01,20,14
2019-10-01,21,9
2019-10-01,22,9
2019-10-01,23,1
2019-10-02,0,1
2019-10-02,1,2
2019-10-02,2,1
2019-10-02,3,1
2019-10-02,4,5
2019-10-02,5,13
2019-10-02,6,44
2019-10-02,7,73
2019-10-02,8,79
2019-10-02,9,51
2019-10-02,10,70
2019-10-02,11,63
2019-10-02,12,45
2019-10-02,13,50
2019-10-02,14,69
2019-10-02,15,84
2019-10-02,16,88
2019-10-02,17,86
2019-10-02,18,48
2019-10-02,19,33
2019-10-02,20,20
2019-10-02,21,9
2019-10-02,22,11
2019-10-02,23,4
2019-10-03,0,3
2019-10-03,1,0
2019-10-03,2,2
2019-10-03,3,0
2019-10-03,4,8
2019-10-03,5,16
2019-10-03,6,35
2019-10-03,7,83
2019-10-03,8,66
2019-10-03,9,51
2019-10-03,10,60
2019-10-03,11,55
2019-10-03,12,77
2019-10-03,13,73
2019-10-03,14,70
2019-10-03,15,85
2019-10-03,16,107
2019-10-03,17,77
2019-10-03,18,61
2019-10-03,19,47
2019-10-03,20,56
2019-10-03,21,171
2019-10-03,22,187
2019-10-03,23,129
2019-10-04,0,4
2019-10-04,1,3
2019-10-04,2,2
2019-10-04,3,1
2019-10-04,4,5
2019-10-04,5,13
2019-10-04,6,43
2019-10-04,7,72
2019-10-04,8,52
2019-10-04,9,57
2019-10-04,10,55
2019-10-04,11,64
2019-10-04,12,78
2019-10-04,13,69
2019-10-04,14,77
2019-10-04,15,84
2019-10-04,16,75
2019-10-04,17,73
2019-10-04,18,63
2019-10-04,19,33
2019-10-04,20,19
2019-10-04,21,13
2019-10-04,22,8
2019-10-04,23,8
2019-10-05,0,5
2019-10-05,1,0
2019-10-05,2,2
2019-10-05,3,3
2019-10-05,4,3
2019-10-05,5,3
2019-10-05,6,14
2019-10-05,7,23
2019-10-05,8,31
2019-10-05,9,42
2019-10-05,10,49
2019-10-05,11,60
2019-10-05,12,66
2019-10-05,13,62
2019-10-05,14,74
2019-10-05,15,43
2019-10-05,16,37
2019-10-05,17,32
2019-10-05,18,32
2019-10-05,19,21
2019-10-05,20,20
2019-10-05,21,17
2019-10-05,22,9
2019-10-05,23,15
2019-10-06,0,8
2019-10-06,1,2
2019-10-06,2,1
2019-10-06,3,9
2019-10-06,4,17
2019-10-06,5,15
2019-10-06,6,16
2019-10-06,7,33
2019-10-06,8,39
2019-10-06,9,32
2019-10-06,10,46
2019-10-06,11,62
2019-10-06,12,56
2019-10-06,13,50
2019-10-06,14,61
2019-10-06,15,45
2019-10-06,16,43
2019-10-06,17,32
2019-10-06,18,18
2019-10-06,19,18
2019-10-06,20,16
2019-10-06,21,8
2019-10-06,22,3
2019-10-06,23,5
2019-10-07,0,3
2019-10-07,1,1
