date,time,flow
2019-10-01,0,1
2019-10-01,1,0
2019-10-01,2,0
2019-10-01,3,0
2019-10-01,4,1
2019-10-01,5,4
2019-10-01,6,21
2019-10-01,7,49
2019-10-01,8,66
2019-10-01,9,40
2019-10-01,10,21
2019-10-01,11,36
2019-10-01,12,30
2019-10-01,13,27
2019-10-01,14,19
2019-10-01,15,16
2019-10-01,16,30
2019-10-01,17,19
2019-10-01,18,12
2019-10-01,19,8
2019-10-01,20,3
2019-10-01,21,1
2019-10-01,22,5
2019-10-01,23,1
2019-10-02,0,1
2019-10-02,1,0
2019-10-02,2,0
2019-10-02,3,0
2019-10-02,4,0
2019-10-02,5,5
2019-10-02,6,27
2019-10-02,7,51
2019-10-02,8,48
2019-10-02,9,27
2019-10-02,10,34
2019-10-02,11,28
2019-10-02,12,23
2019-10-02,13,19
2019-10-02,14,27
2019-10-02,15,20
2019-10-02,16,21
2019-10-02,17,21
2019-10-02,18,11
2019-10-02,19,10
2019-10-02,20,4
2019-10-02,21,4
2019-10-02,22,3
2019-10-02,23,0
2019-10-03,0,0
2019-10-03,1,0
2019-10-03,2,0
2019-10-03,3,1
2019-10-03,4,1
2019-10-03,5,7
2019-10-03,6,22
2019-10-03,7,36
2019-10-03,8,38
2019-10-03,9,42
2019-10-03,10,25
2019-10-03,11,23
2019-10-03,12,29
2019-10-03,13,29
2019-10-03,14,18
2019-10-03,15,24
2019-10-03,16,39
2019-10-03,17,31
2019-10-03,18,18
2019-10-03,19,9
2019-10-03,20,8
2019-10-03,21,4
2019-10-03,22,4
2019-10-03,23,1
2019-10-04,0,1
2019-10-04,1,1
2019-10-04,2,0
2019-10-04,3,1
2019-10-04,4,1
2019-10-04,5,9
2019-10-04,6,22
2019-10-04,7,51
2019-10-04,8,64
2019-10-04,9,36
2019-10-04,10,20
2019-10-04,11,10
2019-10-04,12,27
2019-10-04,13,23
2019-10-04,14,30
2019-10-04,15,22
2019-10-04,16,39
2019-10-04,17,23
2019-10-04,18,15
2019-10-04,19,12
2019-10-04,20,5
2019-10-04,21,5
2019-10-04,22,7
2019-10-04,23,2
2019-10-05,0,1
2019-10-05,1,1
2019-10-05,2,0
2019-10-05,3,2
2019-10-05,4,0
2019-10-05,5,5
2019-10-05,6,6
2019-10-05,7,12
2019-10-05,8,8
2019-10-05,9,29
2019-10-05,10,46
2019-10-05,11,41
2019-10-05,12,43
2019-10-05,13,48
2019-10-05,14,28
2019-10-05,15,31
2019-10-05,16,18
2019-10-05,17,14
2019-10-05,18,5
2019-10-05,19,11
2019-10-05,20,8
2019-10-05,21,7
2019-10-05,22,9
2019-10-05,23,5
2019-10-06,0,0
2019-10-06,1,1
2019-10-06,2,1
2019-10-06,3,1
2019-10-06,4,1
2019-10-06,5,0
2019-10-06,6,0
2019-10-06,7,0
2019-10-06,8,12
2019-10-06,9,16
2019-10-06,10,21
2019-10-06,11,17
2019-10-06,12,34
2019-10-06,13,23
2019-10-06,14,18
2019-10-06,15,19
2019-10-06,16,31
2019-10-06,17,13
2019-10-06,18,5
2019-10-06,19,5
2019-10-06,20,5
2019-10-06,21,8
2019-10-06,22,3
2019-10-06,23,1
2019-10-07,0,0
2019-10-07,1,0
2019-10-07,2,0
2019-10-07,3,2
2019-10-07,4,2
2019-10-07,5,4
2019-10-07,6,21
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,5
2019-10-07,11,29
2019-10-07,12,20
2019-10-07,13,21
2019-10-07,14,19
2019-10-07,15,18
2019-10-07,16,19
2019-10-07,17,24
2019-10-07,18,17
2019-10-07,19,7
2019-10-07,20,6
2019-10-07,21,4
2019-10-07,22,5
2019-10-07,23,2
2019-10-08,0,3
2019-10-08,1,1
2019-10-08,2,0
2019-10-08,3,0
2019-10-08,4,4
2019-10-08,5,6
2019-10-08,6,20
2019-10-08,7,57
2019-10-08,8,71
2019-10-08,9,43
2019-10-08,10,26
2019-10-08,11,22
2019-10-08,12,17
2019-10-08,13,21
2019-10-08,14,19
2019-10-08,15,21
2019-10-08,16,28
2019-10-08,17,23
2019-10-08,18,13
2019-10-08,19,9
2019-10-08,20,15
2019-10-08,21,8
2019-10-08,22,6
2019-10-08,23,2
2019-10-09,0,0
2019-10-09,1,3
2019-10-09,2,0
2019-10-09,3,0
2019-10-09,4,1
2019-10-09,5,7
2019-10-09,6,25
2019-10-09,7,57
2019-10-09,8,53
2019-10-09,9,55
2019-10-09,10,25
2019-10-09,11,25
2019-10-09,12,24
2019-10-09,13,19
2019-10-09,14,21
2019-10-09,15,23
2019-10-09,16,28
2019-10-09,17,31
2019-10-09,18,12
2019-10-09,19,10
2019-10-09,20,6
2019-10-09,21,5
2019-10-09,22,7
2019-10-09,23,1
2019-10-10,0,0
2019-10-10,1,1
2019-10-10,2,0
2019-10-10,3,0
2019-10-10,4,3
2019-10-10,5,3
2019-10-10,6,37
2019-10-10,7,50
2019-10-10,8,62
2019-10-10,9,47
2019-10-10,10,20
2019-10-10,11,28
2019-10-10,12,30
2019-10-10,13,28
2019-10-10,14,18
2019-10-10,15,31
2019-10-10,16,37
2019-10-10,17,31
2019-10-10,18,14
2019-10-10,19,8
2019-10-10,20,6
2019-10-10,21,10
2019-10-10,22,7
2019-10-10,23,0
2019-10-11,0,1
2019-10-11,1,0
2019-10-11,2,0
2019-10-11,3,0
2019-10-11,4,0
2019-10-11,5,5
2019-10-11,6,28
2019-10-11,7,54
2019-10-11,8,67
2019-10-11,9,34
2019-10-11,10,31
2019-10-11,11,55
2019-10-11,12,33
2019-10-11,13,35
2019-10-11,14,30
2019-10-11,15,34
2019-10-11,16,27
2019-10-11,17,16
2019-10-11,18,12
2019-10-11,19,15
2019-10-11,20,6
2019-10-11,21,10
2019-10-11,22,2
2019-10-11,23,5
2019-10-12,0,1
2019-10-12,1,2
2019-10-12,2,1
2019-10-12,3,0
2019-10-12,4,0
2019-10-12,5,3
2019-10-12,6,4
2019-10-12,7,14
2019-10-12,8,20
2019-10-12,9,32
2019-10-12,10,31
2019-10-12,11,43
2019-10-12,12,31
2019-10-12,13,22
2019-10-12,14,23
2019-10-12,15,21
2019-10-12,16,24
2019-10-12,17,24
2019-10-12,18,15
2019-10-12,19,8
2019-10-12,20,3
2019-10-12,21,9
2019-10-12,22,5
2019-10-12,23,3
2019-10-13,0,2
2019-10-13,1,0
2019-10-13,2,0
2019-10-13,3,0
2019-10-13,4,0
2019-10-13,5,0
2019-10-13,6,1
2019-10-13,7,3
2019-10-13,8,4
2019-10-13,9,20
2019-10-13,10,34
2019-10-13,11,19
2019-10-13,12,19
2019-10-13,13,25
2019-10-13,14,21
2019-10-13,15,12
2019-10-13,16,15
2019-10-13,17,16
2019-10-13,18,11
2019-10-13,19,13
2019-10-13,20,3
2019-10-13,21,5
2019-10-13,22,0
2019-10-13,23,1
2019-10-14,0,0
2019-10-14,1,0
2019-10-14,2,1
2019-10-14,3,0
2019-10-14,4,2
2019-10-14,5,3
2019-10-14,6,18
2019-10-14,7,52
2019-10-14,8,33
2019-10-14,9,23
2019-10-14,10,37
2019-10-14,11,19
2019-10-14,12,33
2019-10-14,13,26
2019-10-14,14,28
2019-10-14,15,18
2019-10-14,16,20
2019-10-14,17,12
2019-10-14,18,12
2019-10-14,19,8
2019-10-14,20,0
2019-10-14,21,4
2019-10-14,22,0
2019-10-14,23,2
2019-10-15,0,0
2019-10-15,1,0
2019-10-15,2,0
2019-10-15,3,0
2019-10-15,4,0
2019-10-15,5,3
2019-10-15,6,21
2019-10-15,7,63
2019-10-15,8,39
2019-10-15,9,32
2019-10-15,10,33
2019-10-15,11,19
2019-10-15,12,17
2019-10-15,13,20
2019-10-15,14,23
2019-10-15,15,19
2019-10-15,16,28
2019-10-15,17,28
2019-10-15,18,9
2019-10-15,19,10
2019-10-15,20,9
2019-10-15,21,6
2019-10-15,22,1
2019-10-15,23,1
2019-10-16,0,0
2019-10-16,1,0
2019-10-16,2,0
2019-10-16,3,1
2019-10-16,4,0
2019-10-16,5,6
2019-10-16,6,18
2019-10-16,7,52
2019-10-16,8,35
2019-10-16,9,35
2019-10-16,10,16
2019-10-16,11,30
2019-10-16,12,29
2019-10-16,13,44
2019-10-16,14,37
2019-10-16,15,33
2019-10-16,16,40
2019-10-16,17,26
2019-10-16,18,12
2019-10-16,19,10
2019-11-20,12,32
2019-11-20,13,19
2019-11-20,14,22
2019-11-20,15,7
2019-11-20,16,14
2019-11-20,17,28
2019-11-20,18,19
2019-11-20,19,7
2019-11-20,20,8
2019-11-20,21,5
2019-11-20,22,1
2019-11-20,23,2
2019-11-21,0,3
2019-11-21,1,2
2019-11-21,2,0
2019-11-21,3,0
2019-11-21,4,1
2019-11-21,5,0
2019-11-21,6,3
2019-11-21,7,29
2019-11-21,8,40
2019-11-21,9,44
2019-11-21,10,26
2019-11-21,11,23
2019-11-21,12,23
2019-11-21,13,32
2019-11-21,14,20
2019-11-21,15,17
2019-11-21,16,22
2019-11-21,17,24
2019-11-21,18,23
2019-11-21,19,18
2019-11-21,20,5
2019-11-21,21,3
2019-11-21,22,1
2019-11-21,23,0
2019-11-22,0,1
2019-11-22,1,0
2019-11-22,2,1
2019-11-22,3,1
2019-11-22,4,0
2019-11-22,5,1
2019-11-22,6,6
2019-11-22,7,18
2019-11-22,8,44
2019-11-22,9,54
2019-11-22,10,29
2019-11-22,11,25
2019-11-22,12,31
2019-11-22,13,24
2019-11-22,14,27
2019-11-22,15,16
2019-11-22,16,17
2019-11-22,17,19
2019-11-22,18,19
2019-11-22,19,26
2019-11-22,20,7
2019-11-22,21,9
2019-11-22,22,3
2019-11-22,23,2
2019-11-23,0,1
2019-11-23,1,0
2019-11-23,2,0
2019-11-23,3,0
2019-11-23,4,0
2019-11-23,5,1
2019-11-23,6,7
2019-11-23,7,8
2019-11-23,8,9
2019-11-23,9,30
2019-11-23,10,29
2019-11-23,11,57
2019-11-23,12,44
2019-11-23,13,58
2019-11-23,14,76
2019-11-23,15,37
2019-11-23,16,20
2019-11-23,17,18
2019-11-23,18,21
2019-11-23,19,22
2019-11-23,20,9
2019-11-23,21,13
2019-11-23,22,4
2019-11-23,23,6
2019-11-24,0,7
2019-11-24,1,2
2019-11-24,2,1
2019-11-24,3,2
2019-11-24,4,0
2019-11-24,5,0
2019-11-24,6,3
2019-11-24,7,3
2019-11-24,8,3
2019-11-24,9,16
2019-11-24,10,17
2019-11-24,11,40
2019-11-24,12,36
2019-11-24,13,59
2019-11-24,14,47
2019-11-24,15,23
2019-11-24,16,15
2019-11-24,17,12
2019-11-24,18,16
2019-11-24,19,9
2019-11-24,20,6
2019-11-24,21,1
2019-11-24,22,3
2019-11-24,23,1
2019-11-25,0,3
2019-11-25,1,0
2019-11-25,2,0
2019-11-25,3,0
2019-11-25,4,1
2019-11-25,5,2
2019-11-25,6,4
2019-11-25,7,26
2019-11-25,8,50
2019-11-25,9,40
2019-11-25,10,28
2019-11-25,11,29
2019-11-25,12,21
2019-11-25,13,20
2019-11-25,14,22
2019-11-25,15,28
2019-11-25,16,21
2019-11-25,17,33
2019-11-25,18,21
2019-11-25,19,16
2019-11-25,20,8
2019-11-25,21,7
2019-11-25,22,1
2019-11-25,23,1
2019-11-26,0,1
2019-11-26,1,1
2019-11-26,2,0
2019-11-26,3,0
2019-11-26,4,0
2019-11-26,5,0
2019-11-26,6,2
2019-11-26,7,21
2019-11-26,8,42
2019-11-26,9,38
2019-11-26,10,55
2019-11-26,11,28
2019-11-26,12,39
2019-11-26,13,26
2019-11-26,14,20
2019-11-26,15,14
2019-11-26,16,11
2019-11-26,17,21
2019-11-26,18,20
2019-11-26,19,15
2019-11-26,20,5
2019-11-26,21,5
2019-11-26,22,3
2019-11-26,23,2
2019-11-27,0,1
2019-11-27,1,1
2019-11-27,2,0
2019-11-27,3,1
2019-11-27,4,2
2019-11-27,5,0
2019-11-27,6,7
2019-11-27,7,24
2019-11-27,8,42
2019-11-27,9,54
2019-11-27,10,57
2019-11-27,11,34
2019-11-27,12,24
2019-11-27,13,33
2019-11-27,14,33
2019-11-27,15,12
2019-11-27,16,24
2019-11-27,17,21
2019-11-27,18,27
2019-11-27,19,15
2019-11-27,20,8
2019-11-27,21,7
2019-11-27,22,1
2019-11-27,23,6
2019-11-28,0,0
2019-11-28,1,0
2019-11-28,2,0
2019-11-28,3,0
2019-11-28,4,0
2019-11-28,5,0
2019-11-28,6,5
2019-11-28,7,24
2019-11-28,8,43
2019-11-28,9,56
2019-11-28,10,34
2019-11-28,11,34
2019-11-28,12,30
2019-11-28,13,22
2019-11-28,14,17
2019-11-28,15,20
2019-11-28,16,12
2019-11-28,17,25
2019-11-28,18,22
2019-11-28,19,14
2019-11-28,20,9
2019-11-28,21,4
2019-11-28,22,6
2019-11-28,23,2
2019-11-29,0,0
2019-11-29,1,2
2019-11-29,2,1
2019-11-29,3,0
2019-11-29,4,0
2019-11-29,5,1
2019-11-29,6,6
2019-11-29,7,23
2019-11-29,8,39
2019-11-29,9,59
2019-11-29,10,51
2019-11-29,11,42
2019-11-29,12,32
2019-11-29,13,72
2019-11-29,14,25
2019-11-29,15,24
2019-11-29,16,21
2019-11-29,17,37
2019-11-29,18,19
2019-11-29,19,15
2019-11-29,20,13
2019-11-29,21,9
2019-11-29,22,5
2019-11-29,23,3
2019-11-30,0,2
2019-11-30,1,1
2019-11-30,2,1
2019-11-30,3,1
2019-11-30,4,0
2019-11-30,5,0
2019-11-30,6,3
2019-11-30,7,6
2019-11-30,8,14
2019-11-30,9,35
2019-11-30,10,35
2019-11-30,11,47
2019-11-30,12,58
2019-11-30,13,54
2019-11-30,14,53
2019-11-30,15,44
2019-11-30,16,45
2019-11-30,17,13
2019-11-30,18,17
2019-11-30,19,14
2019-11-30,20,12
2019-11-30,21,6
2019-11-30,22,4
2019-11-30,23,8
2019-12-01,0,3
2019-12-01,1,1
2019-12-01,2,4
2019-12-01,3,0
2019-12-01,4,1
2019-12-01,5,1
2019-12-01,6,1
2019-12-01,7,2
2019-12-01,8,4
2019-12-01,9,17
2019-12-01,10,35
2019-12-01,11,37
2019-12-01,12,41
2019-12-01,13,49
2019-12-01,14,22
2019-12-01,15,32
2019-12-01,16,19
2019-12-01,17,37
2019-12-01,18,21
2019-12-01,19,11
2019-12-01,20,14
2019-12-01,21,8
2019-12-01,22,6
2019-12-01,23,0
2019-12-02,0,1
2019-12-02,1,0
2019-12-02,2,0
2019-12-02,3,0
2019-12-02,4,0
2019-12-02,5,1
2019-12-02,6,6
2019-12-02,7,14
2019-12-02,8,50
2019-12-02,9,44
2019-12-02,10,31
2019-12-02,11,37
2019-12-02,12,26
2019-12-02,13,25
2019-12-02,14,20
2019-12-02,15,24
2019-12-02,16,18
2019-12-02,17,23
2019-12-02,18,17
2019-12-02,19,11
2019-12-02,20,10
2019-12-02,21,9
2019-12-02,22,8
2019-12-02,23,3
2019-12-03,0,0
2019-12-03,1,2
2019-12-03,2,0
2019-12-03,3,0
2019-12-03,4,1
2019-12-03,5,0
2019-12-03,6,7
2019-12-03,7,27
2019-12-03,8,63
2019-12-03,9,66
2019-12-03,10,48
2019-12-03,11,27
2019-12-03,12,26
2019-12-03,13,27
