date,time,flow
2019-10-01,0,8
2019-10-01,1,0
2019-10-01,2,4
2019-10-01,3,0
2019-10-01,4,4
2019-10-01,5,25
2019-10-01,6,57
2019-10-01,7,92
2019-10-01,8,108
2019-10-01,9,129
2019-10-01,10,123
2019-10-01,11,141
2019-10-01,12,140
2019-10-01,13,155
2019-10-01,14,158
2019-10-01,15,188
2019-10-01,16,191
2019-10-01,17,102
2019-10-01,18,117
2019-10-01,19,80
2019-10-01,20,63
2019-10-01,21,41
2019-10-01,22,18
2019-10-01,23,16
2019-10-02,0,12
2019-10-02,1,8
2019-10-02,2,0
2019-10-02,3,4
2019-10-02,4,0
2019-10-02,5,24
2019-10-02,6,66
2019-10-02,7,94
2019-10-02,8,124
2019-10-02,9,114
2019-10-02,10,129
2019-10-02,11,143
2019-10-02,12,124
2019-10-02,13,157
2019-10-02,14,169
2019-10-02,15,182
2019-10-02,16,181
2019-10-02,17,135
2019-10-02,18,109
2019-10-02,19,88
2019-10-02,20,63
2019-10-02,21,45
2019-10-02,22,31
2019-10-02,23,16
2019-10-03,0,16
2019-10-03,1,4
2019-10-03,2,0
2019-10-03,3,0
2019-10-03,4,4
2019-10-03,5,16
2019-10-03,6,66
2019-10-03,7,104
2019-10-03,8,118
2019-10-03,9,127
2019-10-03,10,132
2019-10-03,11,147
2019-10-03,12,162
2019-10-03,13,163
2019-10-03,14,172
2019-10-03,15,190
2019-10-03,16,199
2019-10-03,17,126
2019-10-03,18,102
2019-10-03,19,88
2019-10-03,20,63
2019-10-03,21,49
2019-10-03,22,40
2019-10-03,23,26
2019-10-04,0,12
2019-10-04,1,0
2019-10-04,2,0
2019-10-04,3,0
2019-10-04,4,4
2019-10-04,5,20
2019-10-04,6,63
2019-10-04,7,86
2019-10-04,8,109
2019-10-04,9,115
2019-10-04,10,126
2019-10-04,11,150
2019-10-04,12,124
2019-10-04,13,151
2019-10-04,14,124
2019-10-04,15,186
2019-10-04,16,170
2019-10-04,17,111
2019-10-04,18,105
2019-10-04,19,88
2019-10-04,20,53
2019-10-04,21,53
2019-10-04,22,40
2019-10-04,23,36
2019-10-05,0,27
2019-10-05,1,13
2019-10-05,2,13
2019-10-05,3,12
2019-10-05,4,8
2019-10-05,5,12
2019-10-05,6,47
2019-10-05,7,48
2019-10-05,8,60
2019-10-05,9,81
2019-10-05,10,98
2019-10-05,11,110
2019-10-05,12,106
2019-10-05,13,108
2019-10-05,14,124
2019-10-05,15,112
2019-10-05,16,105
2019-10-05,17,88
2019-10-05,18,104
2019-10-05,19,67
2019-10-05,20,57
2019-10-05,21,53
2019-10-05,22,44
2019-10-05,23,48
2019-10-06,0,35
2019-10-06,1,17
2019-10-06,2,20
2019-10-06,3,16
2019-10-06,4,4
2019-10-06,5,8
2019-10-06,6,27
2019-10-06,7,26
2019-10-06,8,40
2019-10-06,9,49
2019-10-06,10,75
2019-10-06,11,86
2019-10-06,12,102
2019-10-06,13,126
2019-10-06,14,120
2019-10-06,15,135
2019-10-06,16,100
2019-10-06,17,106
2019-10-06,18,90
2019-10-06,19,68
2019-10-06,20,50
2019-10-06,21,32
2019-10-06,22,31
2019-10-06,23,20
2019-10-07,0,12
2019-10-07,1,4
2019-10-07,2,0
2019-10-07,3,0
2019-10-07,4,0
2019-10-07,5,21
2019-10-07,6,66
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,22
2019-10-07,11,131
2019-10-07,12,141
2019-10-07,13,158
2019-10-07,14,176
2019-10-07,15,138
2019-10-07,16,198
2019-10-07,17,134
2019-10-07,18,101
2019-10-07,19,71
2019-10-07,20,53
2019-10-07,21,40
2019-10-07,22,25
2019-10-07,23,12
2019-10-08,0,8
2019-10-08,1,0
2019-10-08,2,0
2019-10-08,3,0
2019-10-08,4,12
2019-10-08,5,25
2019-10-08,6,66
2019-10-08,7,102
