date,time,flow
2019-10-01,0,5
2019-10-01,1,3
2019-10-01,2,6
2019-10-01,3,0
2019-10-01,4,7
2019-10-01,5,26
2019-10-01,6,48
2019-10-01,7,95
2019-10-01,8,98
2019-10-01,9,79
2019-10-01,10,112
2019-10-01,11,82
2019-10-01,12,93
2019-10-01,13,89
2019-10-01,14,71
2019-10-01,15,87
2019-10-01,16,97
2019-10-01,17,72
2019-10-01,18,57
2019-10-01,19,45
2019-10-01,20,37
2019-10-01,21,28
2019-10-01,22,17
2019-10-01,23,8
2019-10-02,0,3
2019-10-02,1,5
2019-10-02,2,3
2019-10-02,3,6
2019-10-02,4,8
2019-10-02,5,18
2019-10-02,6,39
2019-10-02,7,125
2019-10-02,8,98
2019-10-02,9,83
2019-10-02,10,97
2019-10-02,11,81
2019-10-02,12,83
2019-10-02,13,74
2019-10-02,14,93
2019-10-02,15,87
2019-10-02,16,86
2019-10-02,17,77
2019-10-02,18,53
2019-10-02,19,45
2019-10-02,20,25
2019-10-02,21,22
2019-10-02,22,17
2019-10-02,23,13
2019-10-03,0,7
2019-10-03,1,3
2019-10-03,2,5
2019-10-03,3,3
2019-10-03,4,6
2019-10-03,5,25
2019-10-03,6,45
2019-10-03,7,109
2019-10-03,8,117
2019-10-03,9,85
2019-10-03,10,73
2019-10-03,11,89
2019-10-03,12,95
2019-10-03,13,94
2019-10-03,14,97
2019-10-03,15,93
2019-10-03,16,101
2019-10-03,17,81
2019-10-03,18,105
2019-10-03,19,64
2019-10-03,20,69
2019-10-03,21,88
2019-10-03,22,28
2019-10-03,23,16
2019-10-04,0,11
2019-10-04,1,3
2019-10-04,2,3
2019-10-04,3,1
2019-10-04,4,7
2019-10-04,5,15
2019-10-04,6,49
2019-10-04,7,94
2019-10-04,8,79
2019-10-04,9,80
2019-10-04,10,78
2019-10-04,11,120
2019-10-04,12,90
2019-10-04,13,102
2019-10-04,14,97
2019-10-04,15,90
2019-10-04,16,110
2019-10-04,17,101
2019-10-04,18,90
2019-10-04,19,62
2019-10-04,20,40
2019-10-04,21,44
2019-10-04,22,35
2019-10-04,23,24
2019-10-05,0,23
2019-10-05,1,12
2019-10-05,2,10
2019-10-05,3,7
2019-10-05,4,10
2019-10-05,5,12
2019-10-05,6,24
2019-10-05,7,36
2019-10-05,8,45
2019-10-05,9,48
2019-10-05,10,92
2019-10-05,11,98
2019-10-05,12,79
2019-10-05,13,78
2019-10-05,14,77
2019-10-05,15,58
2019-10-05,16,77
2019-10-05,17,81
2019-10-05,18,74
2019-10-05,19,66
2019-10-05,20,41
2019-10-05,21,43
2019-10-05,22,33
2019-10-05,23,27
2019-10-06,0,22
2019-10-06,1,16
2019-10-06,2,11
2019-10-06,3,9
2019-10-06,4,7
2019-10-06,5,10
2019-10-06,6,11
2019-10-06,7,23
2019-10-06,8,20
2019-10-06,9,42
2019-10-06,10,51
2019-10-06,11,48
2019-10-06,12,69
2019-10-06,13,66
2019-10-06,14,59
2019-10-06,15,71
2019-10-06,16,58
2019-10-06,17,60
2019-10-06,18,50
2019-10-06,19,40
2019-10-06,20,36
2019-10-06,21,26
2019-10-06,22,19
2019-10-06,23,10
2019-10-07,0,6
2019-10-07,1,2
2019-10-07,2,3
2019-10-07,3,1
2019-10-07,4,6
2019-10-07,5,16
2019-10-07,6,49
2019-10-07,7,96
2019-10-07,8,97
2019-10-07,9,76
2019-10-07,10,50
2019-10-07,11,80
2019-10-07,12,69
2019-10-07,13,72
2019-10-07,14,101
2019-10-07,15,77
2019-10-07,16,74
2019-10-07,17,58
2019-10-07,18,48
2019-10-07,19,34
2019-10-07,20,33
2019-10-07,21,23
2019-10-07,22,18
2019-10-07,23,8
2019-10-08,0,2
2019-10-08,1,1
2019-10-08,2,1
2019-10-08,3,2
2019-10-08,4,6
2019-10-08,5,22
2019-10-08,6,61
2019-10-08,7,116
2019-10-08,8,118
2019-10-08,9,79
2019-10-08,10,89
2019-10-08,11,80
2019-10-08,12,100
2019-10-08,13,85
2019-10-08,14,76
2019-10-08,15,82
2019-10-08,16,94
2019-10-08,17,68
2019-10-08,18,63
2019-10-08,19,44
2019-10-08,20,29
2019-10-08,21,26
2019-10-08,22,14
2019-10-08,23,8
2019-10-09,0,3
2019-10-09,1,2
2019-10-09,2,1
2019-10-09,3,1
2019-10-09,4,7
2019-10-09,5,13
2019-10-09,6,55
2019-10-09,7,128
2019-10-09,8,127
2019-10-09,9,70
2019-10-09,10,67
2019-10-09,11,88
2019-10-09,12,77
2019-10-09,13,75
2019-10-09,14,85
2019-10-09,15,87
2019-10-09,16,58
2019-10-09,17,81
2019-10-09,18,71
2019-10-09,19,44
2019-10-09,20,40
2019-10-09,21,34
2019-10-09,22,21
2019-10-09,23,11
2019-10-10,0,8
2019-10-10,1,2
2019-10-10,2,2
2019-10-10,3,3
2019-10-10,4,11
2019-10-10,5,13
2019-10-10,6,45
2019-10-10,7,114
2019-10-10,8,105
2019-10-10,9,65
2019-10-10,10,77
2019-10-10,11,90
2019-10-10,12,95
2019-10-10,13,104
2019-10-10,14,88
2019-10-10,15,82
2019-10-10,16,104
2019-10-10,17,80
2019-10-10,18,77
2019-10-10,19,50
2019-10-10,20,37
2019-10-10,21,34
2019-10-10,22,19
2019-10-10,23,9
2019-10-11,0,9
2019-10-11,1,4
2019-10-11,2,2
2019-10-11,3,1
2019-10-11,4,13
2019-10-11,5,17
2019-10-11,6,47
2019-10-11,7,103
2019-10-11,8,79
2019-10-11,9,80
2019-10-11,10,70
2019-10-11,11,91
2019-10-11,12,122
2019-10-11,13,92
2019-10-11,14,90
2019-10-11,15,105
2019-10-11,16,100
2019-10-11,17,71
2019-10-11,18,58
2019-10-11,19,61
2019-10-11,20,36
2019-10-11,21,37
2019-10-11,22,30
2019-10-11,23,21
2019-10-12,0,12
2019-10-12,1,11
2019-10-12,2,8
2019-10-12,3,9
2019-10-12,4,8
2019-10-12,5,8
2019-10-12,6,15
2019-10-12,7,25
2019-10-12,8,46
2019-10-12,9,65
2019-10-12,10,59
2019-10-12,11,86
2019-10-12,12,70
2019-10-12,13,87
2019-10-12,14,76
2019-10-12,15,76
2019-10-12,16,77
2019-10-12,17,96
2019-10-12,18,59
2019-10-12,19,39
2019-10-12,20,47
2019-10-12,21,33
2019-10-12,22,30
2019-10-12,23,26
2019-10-13,0,16
2019-10-13,1,15
2019-10-13,2,10
2019-10-13,3,8
2019-10-13,4,11
2019-10-13,5,2
2019-10-13,6,11
2019-10-13,7,8
2019-10-13,8,20
2019-10-13,9,32
2019-10-13,10,56
2019-10-13,11,68
2019-10-13,12,64
2019-10-13,13,71
2019-10-13,14,47
2019-10-13,15,51
2019-10-13,16,55
2019-10-13,17,39
2019-10-13,18,55
2019-10-13,19,48
2019-10-13,20,25
2019-10-13,21,23
2019-10-13,22,21
2019-10-13,23,12
2019-10-14,0,4
2019-10-14,1,4
2019-10-14,2,3
2019-10-14,3,1
2019-10-14,4,3
2019-10-14,5,20
2019-10-14,6,41
2019-10-14,7,88
2019-10-14,8,72
2019-10-14,9,60
2019-10-14,10,66
2019-10-14,11,65
2019-10-14,12,83
2019-10-14,13,83
2019-10-14,14,82
2019-10-14,15,62
2019-10-14,16,79
2019-10-14,17,75
2019-10-14,18,36
2019-10-14,19,41
2019-10-14,20,28
2019-10-14,21,27
2019-10-14,22,15
2019-10-14,23,9
2019-10-15,0,4
2019-10-15,1,4
2019-10-15,2,1
2019-10-15,3,1
2019-10-15,4,6
2019-10-15,5,34
2019-10-15,6,44
2019-10-15,7,75
2019-10-15,8,55
2019-10-15,9,68
2019-10-15,10,67
2019-10-15,11,92
2019-10-15,12,95
2019-10-15,13,71
2019-10-15,14,56
2019-10-15,15,74
2019-10-15,16,64
2019-10-15,17,68
2019-10-15,18,43
2019-10-15,19,53
2019-10-15,20,30
2019-10-15,21,29
2019-10-15,22,18
2019-10-15,23,9
2019-10-16,0,8
2019-10-16,1,3
2019-10-16,2,3
2019-10-16,3,6
2019-10-16,4,12
2019-10-16,5,23
2019-10-16,6,41
2019-10-16,7,105
2019-10-16,8,62
2019-10-16,9,60
2019-10-16,10,65
2019-10-16,11,80
2019-10-16,12,96
2019-10-16,13,84
2019-10-16,14,81
2019-10-16,15,88
2019-10-16,16,87
2019-10-16,17,71
2019-10-16,18,51
2019-10-16,19,46
2019-11-20,12,84
2019-11-20,13,69
2019-11-20,14,79
2019-11-20,15,83
2019-11-20,16,83
2019-11-20,17,96
2019-11-20,18,80
2019-11-20,19,57
2019-11-20,20,56
2019-11-20,21,25
2019-11-20,22,26
2019-11-20,23,24
2019-11-21,0,10
2019-11-21,1,6
2019-11-21,2,1
2019-11-21,3,7
2019-11-21,4,4
2019-11-21,5,7
2019-11-21,6,22
2019-11-21,7,57
2019-11-21,8,100
2019-11-21,9,104
2019-11-21,10,113
2019-11-21,11,88
2019-11-21,12,85
2019-11-21,13,91
2019-11-21,14,69
2019-11-21,15,77
2019-11-21,16,73
2019-11-21,17,82
2019-11-21,18,71
2019-11-21,19,57
2019-11-21,20,35
2019-11-21,21,26
2019-11-21,22,31
2019-11-21,23,36
2019-11-22,0,10
2019-11-22,1,8
2019-11-22,2,9
2019-11-22,3,4
2019-11-22,4,5
2019-11-22,5,10
2019-11-22,6,21
2019-11-22,7,41
2019-11-22,8,105
2019-11-22,9,104
2019-11-22,10,92
2019-11-22,11,87
2019-11-22,12,87
2019-11-22,13,78
2019-11-22,14,99
2019-11-22,15,93
2019-11-22,16,89
2019-11-22,17,110
2019-11-22,18,102
2019-11-22,19,83
2019-11-22,20,63
2019-11-22,21,42
2019-11-22,22,32
2019-11-22,23,26
2019-11-23,0,17
2019-11-23,1,13
2019-11-23,2,9
2019-11-23,3,5
2019-11-23,4,5
2019-11-23,5,8
2019-11-23,6,11
2019-11-23,7,17
2019-11-23,8,30
2019-11-23,9,40
2019-11-23,10,71
2019-11-23,11,86
2019-11-23,12,111
2019-11-23,13,71
2019-11-23,14,94
2019-11-23,15,112
2019-11-23,16,84
2019-11-23,17,91
2019-11-23,18,91
2019-11-23,19,77
2019-11-23,20,62
2019-11-23,21,36
2019-11-23,22,32
2019-11-23,23,32
2019-11-24,0,21
2019-11-24,1,17
2019-11-24,2,13
2019-11-24,3,13
2019-11-24,4,12
2019-11-24,5,4
2019-11-24,6,5
2019-11-24,7,7
2019-11-24,8,14
2019-11-24,9,28
2019-11-24,10,22
2019-11-24,11,45
2019-11-24,12,64
2019-11-24,13,53
2019-11-24,14,67
2019-11-24,15,66
2019-11-24,16,55
2019-11-24,17,52
2019-11-24,18,49
2019-11-24,19,63
2019-11-24,20,29
2019-11-24,21,32
2019-11-24,22,26
2019-11-24,23,11
2019-11-25,0,10
2019-11-25,1,10
2019-11-25,2,8
2019-11-25,3,1
2019-11-25,4,3
2019-11-25,5,7
2019-11-25,6,16
2019-11-25,7,42
2019-11-25,8,123
2019-11-25,9,114
2019-11-25,10,72
2019-11-25,11,69
2019-11-25,12,86
2019-11-25,13,77
2019-11-25,14,57
2019-11-25,15,96
2019-11-25,16,91
2019-11-25,17,72
2019-11-25,18,85
2019-11-25,19,47
2019-11-25,20,37
2019-11-25,21,32
2019-11-25,22,25
2019-11-25,23,19
2019-11-26,0,6
2019-11-26,1,4
2019-11-26,2,4
2019-11-26,3,2
2019-11-26,4,6
2019-11-26,5,7
2019-11-26,6,21
2019-11-26,7,45
2019-11-26,8,115
2019-11-26,9,117
2019-11-26,10,72
2019-11-26,11,76
2019-11-26,12,82
2019-11-26,13,84
2019-11-26,14,89
2019-11-26,15,81
2019-11-26,16,105
2019-11-26,17,102
2019-11-26,18,72
2019-11-26,19,61
2019-11-26,20,53
2019-11-26,21,45
2019-11-26,22,34
2019-11-26,23,15
2019-11-27,0,9
2019-11-27,1,6
2019-11-27,2,1
2019-11-27,3,1
2019-11-27,4,5
2019-11-27,5,3
2019-11-27,6,42
2019-11-27,7,35
2019-11-27,8,110
2019-11-27,9,113
2019-11-27,10,83
2019-11-27,11,73
2019-11-27,12,84
2019-11-27,13,91
2019-11-27,14,99
2019-11-27,15,73
2019-11-27,16,78
2019-11-27,17,83
2019-11-27,18,72
2019-11-27,19,56
2019-11-27,20,62
2019-11-27,21,35
2019-11-27,22,31
2019-11-27,23,17
2019-11-28,0,12
2019-11-28,1,6
2019-11-28,2,3
2019-11-28,3,2
2019-11-28,4,2
2019-11-28,5,3
2019-11-28,6,16
2019-11-28,7,40
2019-11-28,8,121
2019-11-28,9,110
2019-11-28,10,71
2019-11-28,11,89
2019-11-28,12,79
2019-11-28,13,87
2019-11-28,14,102
2019-11-28,15,75
2019-11-28,16,73
2019-11-28,17,96
2019-11-28,18,86
2019-11-28,19,86
2019-11-28,20,57
2019-11-28,21,50
2019-11-28,22,69
2019-11-28,23,21
2019-11-29,0,11
2019-11-29,1,14
2019-11-29,2,5
2019-11-29,3,3
2019-11-29,4,5
2019-11-29,5,7
2019-11-29,6,17
2019-11-29,7,53
2019-11-29,8,120
2019-11-29,9,74
2019-11-29,10,78
2019-11-29,11,100
2019-11-29,12,101
2019-11-29,13,111
2019-11-29,14,108
2019-11-29,15,84
2019-11-29,16,113
2019-11-29,17,97
