date,time,flow
2019-10-01,0,0
2019-10-01,1,44
2019-10-01,2,0
2019-10-01,3,0
2019-10-01,4,0
2019-10-01,5,12
2019-10-01,6,26
2019-10-01,7,65
2019-10-01,8,106
2019-10-01,9,67
2019-10-01,10,57
2019-10-01,11,67
2019-10-01,12,76
2019-10-01,13,62
2019-10-01,14,71
2019-10-01,15,70
2019-10-01,16,62
2019-10-01,17,52
2019-10-01,18,40
2019-10-01,19,30
2019-10-01,20,26
2019-10-01,21,16
2019-10-01,22,8
2019-10-01,23,4
2019-10-02,0,0
2019-10-02,1,8
2019-10-02,2,0
2019-10-02,3,0
2019-10-02,4,4
2019-10-02,5,12
2019-10-02,6,31
2019-10-02,7,57
2019-10-02,8,96
2019-10-02,9,61
2019-10-02,10,57
2019-10-02,11,80
2019-10-02,12,79
2019-10-02,13,57
2019-10-02,14,76
2019-10-02,15,92
2019-10-02,16,76
2019-10-02,17,84
2019-10-02,18,57
2019-10-02,19,45
2019-10-02,20,31
2019-10-02,21,21
2019-10-02,22,12
2019-10-02,23,0
2019-10-03,0,0
2019-10-03,1,4
2019-10-03,2,0
2019-10-03,3,0
2019-10-03,4,4
2019-10-03,5,12
2019-10-03,6,26
2019-10-03,7,62
2019-10-03,8,115
2019-10-03,9,48
2019-10-03,10,62
2019-10-03,11,56
2019-10-03,12,62
2019-10-03,13,76
2019-10-03,14,97
2019-10-03,15,97
2019-10-03,16,84
2019-10-03,17,66
2019-10-03,18,66
2019-10-03,19,49
2019-10-03,20,36
2019-10-03,21,16
2019-10-03,22,12
2019-10-03,23,4
2019-10-04,0,0
2019-10-04,1,64
2019-10-04,2,0
2019-10-04,3,0
2019-10-04,4,4
2019-10-04,5,16
2019-10-04,6,26
2019-10-04,7,57
2019-10-04,8,92
2019-10-04,9,57
2019-10-04,10,57
2019-10-04,11,52
2019-10-04,12,58
2019-10-04,13,62
2019-10-04,14,84
2019-10-04,15,92
2019-10-04,16,72
2019-10-04,17,71
2019-10-04,18,57
2019-10-04,19,44
2019-10-04,20,26
2019-10-04,21,16
2019-10-04,22,16
2019-10-04,23,12
2019-10-05,0,4
2019-10-05,1,4
2019-10-05,2,0
2019-10-05,3,0
2019-10-05,4,0
2019-10-05,5,0
2019-10-05,6,12
2019-10-05,7,21
2019-10-05,8,36
2019-10-05,9,66
2019-10-05,10,70
2019-10-05,11,66
2019-10-05,12,58
2019-10-05,13,47
2019-10-05,14,44
2019-10-05,15,36
2019-10-05,16,52
2019-10-05,17,53
2019-10-05,18,45
2019-10-05,19,36
2019-10-05,20,21
2019-10-05,21,16
2019-10-05,22,16
2019-10-05,23,12
2019-10-06,0,8
2019-10-06,1,20
2019-10-06,2,0
2019-10-06,3,0
2019-10-06,4,0
2019-10-06,5,0
2019-10-06,6,8
2019-10-06,7,16
2019-10-06,8,16
2019-10-06,9,31
2019-10-06,10,36
2019-10-06,11,48
2019-10-06,12,57
2019-10-06,13,40
2019-10-06,14,40
2019-10-06,15,40
2019-10-06,16,44
2019-10-06,17,40
2019-10-06,18,36
2019-10-06,19,26
2019-10-06,20,16
2019-10-06,21,16
2019-10-06,22,12
2019-10-06,23,4
2019-10-07,0,4
2019-10-07,1,56
2019-10-07,2,0
2019-10-07,3,0
2019-10-07,4,4
2019-10-07,5,12
2019-10-07,6,26
2019-10-07,7,53
2019-10-07,8,89
2019-10-07,9,44
2019-10-07,10,22
2019-10-07,11,0
2019-10-07,12,0
2019-10-07,13,0
2019-10-07,14,3
2019-10-07,15,0
2019-10-07,16,0
2019-10-07,17,0
2019-10-07,18,35
2019-10-07,19,30
2019-10-07,20,21
2019-10-07,21,12
2019-10-07,22,4
2019-10-07,23,4
2019-10-08,0,0
2019-10-08,1,43
2019-10-08,2,0
2019-10-08,3,0
2019-10-08,4,0
2019-10-08,5,12
2019-10-08,6,26
2019-10-08,7,65
2019-10-08,8,106
2019-10-08,9,67
2019-10-08,10,57
2019-10-08,11,67
2019-10-08,12,76
2019-10-08,13,62
2019-10-08,14,70
2019-10-08,15,70
2019-10-08,16,62
2019-10-08,17,52
2019-10-08,18,40
2019-10-08,19,30
2019-10-08,20,26
2019-10-08,21,16
2019-10-08,22,8
2019-10-08,23,4
