date,time,flow
2019-10-01,0,0
2019-10-01,1,0
2019-10-01,2,0
2019-10-01,3,0
2019-10-01,4,0
2019-10-01,5,0
2019-10-01,6,0
2019-10-01,7,0
2019-10-01,8,0
2019-10-01,9,0
2019-10-01,10,0
2019-10-01,11,0
2019-10-01,12,0
2019-10-01,13,4
2019-10-01,14,0
2019-10-01,15,10
2019-10-01,16,12
2019-10-01,17,12
2019-10-01,18,8
2019-10-01,19,0
2019-10-01,20,0
2019-10-01,21,0
2019-10-01,22,0
2019-10-01,23,0
2019-10-02,0,0
2019-10-02,1,0
2019-10-02,2,0
2019-10-02,3,0
2019-10-02,4,0
2019-10-02,5,0
2019-10-02,6,0
2019-10-02,7,0
2019-10-02,8,2
2019-10-02,9,0
2019-10-02,10,2
2019-10-02,11,0
2019-10-02,12,2
2019-10-02,13,0
2019-10-02,14,2
2019-10-02,15,2
2019-10-02,16,2
2019-10-02,17,0
2019-10-02,18,0
2019-10-02,19,0
2019-10-02,20,0
2019-10-02,21,0
2019-10-02,22,0
2019-10-02,23,0
2019-10-03,0,0
2019-10-03,1,0
2019-10-03,2,0
2019-10-03,3,0
2019-10-03,4,0
2019-10-03,5,0
2019-10-03,6,0
2019-10-03,7,0
2019-10-03,8,0
2019-10-03,9,2
2019-10-03,10,0
2019-10-03,11,0
2019-10-03,12,0
2019-10-03,13,2
2019-10-03,14,10
2019-10-03,15,17
2019-10-03,16,14
2019-10-03,17,17
2019-10-03,18,7
2019-10-03,19,0
2019-10-03,20,0
2019-10-03,21,0
2019-10-03,22,0
2019-10-03,23,0
2019-10-04,0,0
2019-10-04,1,0
2019-10-04,2,0
2019-10-04,3,0
2019-10-04,4,0
2019-10-04,5,0
2019-10-04,6,0
2019-10-04,7,2
2019-10-04,8,0
2019-10-04,9,0
2019-10-04,10,0
2019-10-04,11,2
2019-10-04,12,0
2019-10-04,13,0
2019-10-04,14,2
2019-10-04,15,0
2019-10-04,16,0
2019-10-04,17,0
2019-10-04,18,0
2019-10-04,19,0
2019-10-04,20,3
2019-10-04,21,0
2019-10-04,22,0
2019-10-04,23,0
2019-10-05,0,0
2019-10-05,1,0
2019-10-05,2,0
2019-10-05,3,0
2019-10-05,4,0
2019-10-05,5,0
2019-10-05,6,0
2019-10-05,7,0
2019-10-05,8,0
2019-10-05,9,3
2019-10-05,10,9
2019-10-05,11,13
2019-10-05,12,16
2019-10-05,13,11
2019-10-05,14,16
2019-10-05,15,17
2019-10-05,16,12
2019-10-05,17,5
2019-10-05,18,0
2019-10-05,19,0
2019-10-05,20,0
2019-10-05,21,0
2019-10-05,22,0
2019-10-05,23,0
2019-10-06,0,0
2019-10-06,1,0
2019-10-06,2,0
2019-10-06,3,0
2019-10-06,4,0
2019-10-06,5,0
2019-10-06,6,0
2019-10-06,7,0
2019-10-06,8,0
2019-10-06,9,10
2019-10-06,10,12
2019-10-06,11,9
2019-10-06,12,9
2019-10-06,13,0
2019-10-06,14,0
2019-10-06,15,0
2019-10-06,16,0
2019-10-06,17,0
2019-10-06,18,0
2019-10-06,19,0
2019-10-06,20,0
2019-10-06,21,0
2019-10-06,22,0
2019-10-06,23,0
2019-10-07,0,0
2019-10-07,1,0
2019-10-07,2,0
2019-10-07,3,0
2019-10-07,4,0
2019-10-07,5,0
2019-10-07,6,0
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,2
2019-10-07,11,0
2019-10-07,12,0
2019-10-07,13,0
2019-10-07,14,3
2019-10-07,15,12
2019-10-07,16,12
2019-10-07,17,16
2019-10-07,18,6
2019-10-07,19,0
2019-10-07,20,0
2019-10-07,21,0
2019-10-07,22,0
2019-10-07,23,0
2019-10-08,0,0
2019-10-08,1,0
2019-10-08,2,0
2019-10-08,3,0
2019-10-08,4,0
2019-10-08,5,0
2019-10-08,6,0
2019-10-08,7,0
2019-10-08,8,0
2019-10-08,9,2
2019-10-08,10,0
2019-10-08,11,0
2019-10-08,12,0
2019-10-08,13,0
2019-10-08,14,0
2019-10-08,15,14
2019-10-08,16,13
2019-10-08,17,17
2019-10-08,18,11
2019-10-08,19,0
2019-10-08,20,0
2019-10-08,21,0
2019-10-08,22,0
2019-10-08,23,0
2019-10-09,0,0
2019-10-09,1,0
2019-10-09,2,0
2019-10-09,3,0
2019-10-09,4,0
2019-10-09,5,0
2019-10-09,6,0
2019-10-09,7,0
2019-10-09,8,0
2019-10-09,9,0
2019-10-09,10,0
2019-10-09,11,0
2019-10-09,12,0
2019-10-09,13,2
2019-10-09,14,0
2019-10-09,15,12
2019-10-09,16,14
2019-10-09,17,17
2019-10-09,18,11
2019-10-09,19,0
2019-10-09,20,0
2019-10-09,21,0
2019-10-09,22,0
2019-10-09,23,0
2019-10-10,0,0
2019-10-10,1,0
2019-10-10,2,0
2019-10-10,3,0
2019-10-10,4,0
2019-10-10,5,0
2019-10-10,6,0
2019-10-10,7,0
2019-10-10,8,0
2019-10-10,9,0
2019-10-10,10,0
2019-10-10,11,0
2019-10-10,12,2
2019-10-10,13,0
2019-10-10,14,4
2019-10-10,15,15
2019-10-10,16,13
2019-10-10,17,17
2019-10-10,18,13
2019-10-10,19,0
2019-10-10,20,0
2019-10-10,21,0
2019-10-10,22,0
2019-10-10,23,0
2019-10-11,0,0
2019-10-11,1,0
2019-10-11,2,0
2019-10-11,3,0
2019-10-11,4,0
2019-10-11,5,0
2019-10-11,6,0
2019-10-11,7,0
2019-10-11,8,4
2019-10-11,9,12
2019-10-11,10,16
2019-10-11,11,13
2019-10-11,12,15
2019-10-11,13,15
2019-10-11,14,16
2019-10-11,15,16
2019-10-11,16,12
2019-10-11,17,15
2019-10-11,18,12
2019-10-11,19,0
2019-10-11,20,0
2019-10-11,21,0
2019-10-11,22,0
